iter	Passed	Remaining
398	5391	8121
399	5393	8090
400	5396	8060
401	5403	8037
402	5406	8008
403	5408	7978
404	5410	7948
405	5412	7918
406	5420	7897
407	5422	7867
408	5424	7838
409	5426	7809
410	5433	7786
411	5437	7760
412	5439	7731
413	5448	7712
414	5452	7685
415	5455	7658
416	5457	7630
417	5460	7603
418	5466	7580
419	5469	7552
420	5471	7524
421	5473	7497
422	5482	7477
423	5484	7450
424	5486	7422
425	5488	7395
426	5490	7367
427	5493	7341
428	5495	7315
429	5498	7288
430	5500	7261
431	5503	7236
432	5507	7211
433	5509	7185
434	5511	7159
435	5514	7132
436	5516	7106
437	5518	7080
438	5522	7056
439	5525	7032
440	5527	7006
441	5535	6987
442	5540	6965
443	5542	6940
444	5544	6915
445	5548	6892
446	5550	6866
447	5552	6841
448	5556	6818
449	5558	6793
450	5560	6768
451	5562	6744
452	5564	6719
453	5567	6695
454	5569	6671
455	5571	6646
456	5573	6621
457	5574	6597
458	5577	6573
459	5579	6549
460	5581	6526
461	5583	6501
462	5585	6477
463	5586	6453
464	5588	6429
465	5590	6406
466	5592	6382
467	5594	6359
468	5596	6336
469	5598	6312
470	5599	6289
471	5603	6268
472	5605	6245
473	5607	6222
474	5608	6199
475	5610	6176
476	5612	6153
477	5616	6133
478	5619	6112
479	5621	6090
480	5623	6067
481	5625	6045
482	5631	6028
483	5634	6006
484	5636	5984
485	5637	5962
486	5639	5940
487	5641	5918
488	5648	5902
489	5649	5880
490	5651	5858
491	5653	5837
492	5655	5815
493	5657	5794
494	5664	5778
495	5666	5757
496	5668	5736
497	5674	5720
498	5676	5699
499	5678	5678
500	5681	5658
501	5683	5638
502	5685	5617
503	5690	5600
504	5692	5579
505	5694	5559
506	5696	5539
507	5698	5518
508	5703	5501
509	5706	5482
510	5708	5462
511	5709	5442
512	5711	5422
513	5713	5402
514	5718	5384
515	5721	5366
516	5723	5347
517	5725	5327
518	5727	5308
519	5729	5288
520	5733	5271
521	5736	5253
522	5738	5233
523	5740	5214
524	5741	5194
525	5743	5175
526	5745	5156
527	5752	5142
528	5754	5123
529	5756	5104
530	5757	5085
531	5759	5066
532	5762	5049
533	5766	5032
534	5768	5013
535	5770	4995
536	5772	4976
537	5774	4958
538	5778	4942
539	5782	4925
540	5783	4907
541	5785	4889
542	5790	4873
543	5796	4859
544	5799	4841
545	5803	4825
546	5805	4807
547	5811	4793
548	5816	4778
549	5819	4761
550	5821	4743
551	5834	4735
552	5836	4718
553	5845	4705
554	5848	4689
555	5850	4671
556	5852	4654
557	5854	4637
558	5861	4624
559	5863	4607
560	5866	4590
561	5868	4573
562	5872	4558
563	5877	4543
564	5879	4526
565	5881	4509
566	5883	4492
567	5885	4476
568	5891	4462
569	5893	4445
570	5896	4430
571	5898	4413
572	5900	4397
573	5908	4384
574	5910	4368
575	5912	4352
576	5914	4336
577	5921	4323
578	5927	4310
579	5930	4294
580	5937	4281
581	5942	4268
582	5944	4252
583	5947	4236
584	5955	4224
585	5957	4208
586	5959	4192
